Event Name,Event Time,Status,External Url
Meetup The Value in the Scrum Values with Gunther Verheyen [English],"Apr 22, 2021 04:15 PM - Apr 22, 2021 05:45 PM",APPROVED,
Apéro NosRezo,"Jun 14, 2022 05:00 PM - Jun 14, 2022 06:30 PM",RELINQUISHED,https://fb.me/e/1STF6FlqW
Se développer professionnellement : supervision et Thalass'Alignement,"May 31, 2022 10:30 AM - May 31, 2022 11:00 AM",RELINQUISHED,https://us02web.zoom.us/j/84846145968?pwd=TzdMeE1Ydm5wTlB5Y3hsd3E2RXZkdz09
🍷🍻 L'Apéro Web Bordeaux,"Oct 07, 2025 05:00 PM - Oct 07, 2025 05:30 PM",APPROVED,
"ApéroTalk avec Sebastien Romano, VP Engineering ManoMano","Sep 12, 2022 04:30 PM - Sep 12, 2022 06:00 PM",RELINQUISHED,https://www.eventbrite.fr/e/billets-apero-talk-avec-sebastien-romano-vp-engineering-manomano-412851870057
"🍷🍻 L'Apéro Web Bordeaux, la dernière (ou pas) !","Nov 27, 2024 06:00 PM - Nov 27, 2024 10:00 PM",RELINQUISHED,
INTERCLUB Protéine Agen et Protéine Gironde,"May 28, 2021 08:00 AM - May 28, 2021 02:00 PM",APPROVED,https://www.weezevent.com/interclubs-club-d-affaires-proteine
🦸‍♀️🦸‍♂️#Savethedate Agile Tour Nantais 2023,"Nov 02, 2023 07:30 AM - Nov 03, 2023 04:30 PM",APPROVED,https://agilenantes.org/evenements/agile-tour-nantes/agile-tour-nantais-2023/
"📢 IA générative - Lancement d’Ebiose : multi-modèles, sobre et open source","May 15, 2024 05:00 PM - May 15, 2024 06:00 PM",APPROVED,https://www.meetup.com/fr-FR/bordeaux-machine-learning-meetup/events/300499299/
"Webinaire gratuit 24h/24 ""Et si nous faisions de nos émotions nos alliées"" ","Feb 10, 2025 06:00 PM - Feb 10, 2025 07:00 PM",RELINQUISHED,https://kristofmorin.podia.com/webinaire-et-si-nous-faisions-de-nos-emotions-nos-alliees
Détection et prévention de la fraude en ligne,"May 31, 2022 09:30 AM - May 31, 2022 10:00 AM",RELINQUISHED,https://lnkd.in/dueNsNRF
Parcours d'apprentissage à la systémique : promotion de septembre 2022,"May 23, 2022 10:30 AM - May 23, 2022 11:00 AM",RELINQUISHED,https://us02web.zoom.us/j/82301283067?pwd=WkhTVVZuZmRBR1E4WHVVZEJyL20wQT09
Meetup - Agilité : Préceptes VS Réalité Terrain,"Jun 20, 2024 04:45 PM - Jun 20, 2024 07:00 PM",APPROVED,https://urlr.me/45Bs6
CAPTURE THE FLAG ,"May 25, 2023 04:00 PM - May 25, 2023 04:30 PM",RELINQUISHED,https://scalian.powerappsportals.com/CTF_2023_REGISTRATION/
📌 SAVE THE DATE: Agile Tour Nantais 2022 (présentiel et en remote),"Nov 03, 2022 08:00 AM - Nov 04, 2022 05:00 PM",APPROVED,https://agilenantes.org/evenements/agile-tour-nantes/agile-tour-nantais-2022/
Réaliser mon plan de trésorerie pour préparer 2022,"Dec 16, 2021 07:30 AM - Dec 16, 2021 10:00 AM",RELINQUISHED,https://docs.google.com/forms/d/e/1FAIpQLSevqRvKe6QhSwvS0VZh6CrqfhXhETaYVNFUe21qFahNSICJ9A/viewform
