Date,Type,Link
2025-10-28 17:09:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386415702439641088
2025-10-28 17:08:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386301506200875008
2025-10-28 17:04:42,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7382084730554408960
2025-10-28 17:02:51,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7383022040863109120
2025-10-28 17:00:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384166604097359872
2025-10-28 17:00:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7384987983453696000
2025-10-12 11:56:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381991182261796865
2025-10-07 17:24:28,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7379189167626350592
2025-10-07 13:38:28,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7379181808086839296
2025-10-03 07:35:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7379780738583252992
2025-09-30 08:15:25,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378695437496643584
2025-09-22 09:19:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375799010495799296
2025-09-19 09:02:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371781287923314688
2025-09-19 09:01:47,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373626718206468096
2025-09-15 07:29:43,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7371948993788055553
2025-09-02 07:18:41,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7367241140103696384
2025-08-29 14:47:23,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7357335221756731393
2025-08-29 14:18:10,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366722698720210946
2025-08-18 08:40:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7356621960832860161
2025-08-18 08:16:38,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7355927252456419328
2025-08-18 08:15:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361745518063939586
2025-08-18 08:15:19,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7349512157094416385
2025-08-18 08:15:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7356948399763398657
2025-08-18 08:14:51,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7354506221753618432
2025-08-18 08:14:25,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354491119226765312
2025-08-18 08:14:07,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7356933595740913665
2025-08-18 08:13:39,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7356302720397373440
2025-08-18 08:13:26,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7358316363922247680
2025-08-18 08:12:33,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7362449522238623745
2025-07-17 16:31:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351431077669879808
2025-07-17 16:31:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348604752085061632
2025-07-17 16:31:10,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7349452413843529728
2025-07-17 16:30:34,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351280571521638401
2025-07-17 16:16:13,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351610216515313667
2025-07-11 17:37:41,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349017658568192001
2025-07-10 12:03:33,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348621178422362112
2025-07-08 14:38:07,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7346367658906275840
2025-07-08 14:37:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7347868308441890816
2025-07-08 14:36:21,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7347990377917771777
2025-07-08 14:35:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7348168497081827328
2025-06-30 08:34:09,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7344285424497942528
2025-06-26 15:01:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343933750470225920
2025-06-26 08:18:53,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341875359446986752
2025-06-24 05:59:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341438356754468864
2025-06-24 05:59:19,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343006549344219136
2025-06-24 05:57:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7342969263919411202
2025-06-24 05:54:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341354555697201152
2025-06-24 05:53:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7342775991468965888
2025-06-20 11:46:19,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338200650020749313
2025-06-20 11:44:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7341507636829351936
2025-06-19 09:14:04,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7336356261959028737
2025-06-19 09:11:30,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341382348191539202
2025-06-19 08:04:59,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339543383763308544
2025-06-19 08:03:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7341275031001321472
2025-06-18 16:45:11,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341129581875052546
2025-06-13 06:47:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334509253459677184
2025-06-13 06:46:11,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7335962071794176002
2025-06-13 06:44:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338440645763604480
2025-06-13 06:44:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338927462526971906
2025-06-13 06:44:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338297092706103299
2025-06-12 16:29:46,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338507222257164288
2025-06-12 16:28:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338810552506327040
2025-06-12 16:28:26,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338293896956760065
2025-06-12 16:26:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338313097784254465
2025-06-12 16:25:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338871150971682816
2025-06-10 08:19:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7335704239714811905
2025-06-10 06:38:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338067391651672064
2025-05-21 21:55:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329494718692667393
2025-05-21 21:53:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330810446876172288
2025-05-21 21:53:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330158914673459201
2025-05-21 21:52:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330927087458873347
2025-05-16 16:57:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7328698653450113025
2025-05-16 15:38:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7328698208572837888
2025-05-01 07:40:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320778802672852992
2025-04-19 16:03:20,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7317824345911746560?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7317824345911746560%2C7318527679039688707%29
2025-04-19 16:03:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7317824345911746560
2025-04-19 16:01:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7317932967601831936
2025-04-19 16:01:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318478641904959490
2025-04-15 09:22:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7313132612628189185
2025-04-14 07:29:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316346779942219778
2025-04-14 07:26:46,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316386160421855234
2025-04-14 07:26:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312738018828677120
2025-04-14 07:25:35,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7316371914355036161
2025-04-14 07:25:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7313132130878779392
2025-04-14 07:24:44,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7313867635220205568
2025-04-14 07:24:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316000260718276608
2025-04-14 07:23:39,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7313512982456545280
2025-04-07 16:55:06,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7313085033840279553
2025-04-07 08:07:31,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7310254117405282304
2025-04-07 08:07:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312715344551313408
2025-04-07 08:05:18,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7310311977719869440
2025-03-18 15:03:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300925144942694401
2025-03-18 14:55:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7306329156626116608
2025-03-18 14:52:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7307681308397195264
2025-03-18 14:51:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7305500274989645824
2025-03-18 14:39:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7302700935984656384
2025-02-27 10:27:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300814526814277632
2025-02-27 10:26:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7298402458710536192?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7298402458710536192%2C7300813848150790145%29
2025-02-27 09:13:33,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7298002450261639168
2025-02-27 09:12:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300764679608430593
2025-02-26 15:10:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299723027024347136?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7299723027024347136%2C7300081920766361600%29
2025-02-26 15:10:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299723027024347136?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7299723027024347136%2C7299948288823218176%29
2025-02-26 15:10:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299786080206110720
2025-02-26 15:07:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7299897933724815360
2025-02-26 15:06:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300202815694471169
2025-02-24 16:56:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299723027024347136?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7299723027024347136%2C7299744727359217666%29
2025-02-24 15:12:32,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299117547038109696
2025-02-24 15:04:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299608304144564224?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7299608304144564224%2C7299752336996941825%29
2025-02-24 14:58:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7292816340459880448
2025-02-24 09:49:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7298664079978647552
2025-02-24 09:48:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7299117804199329793
2025-02-24 08:46:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7299608304144564224
2025-02-19 14:08:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7297926460000907264
2025-02-18 13:08:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7295261573600681985
2025-02-12 10:38:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7294767552029687808
2025-02-12 10:37:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7295167899952979970
2025-02-12 10:37:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7294844481629999105
2025-02-12 10:36:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7295356929005027328
2025-02-12 10:36:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7295115412386504705
2025-02-11 13:50:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7295011221060136960
2025-02-11 13:47:47,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7295041942361419777
2025-02-10 11:17:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7294643238051741696
2025-02-10 09:00:11,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7294611102259118080
2025-02-10 08:59:55,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7289753899509403648
2025-02-08 18:42:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7293570357171548161
2025-02-08 08:40:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7293308380662677511
2025-02-08 08:39:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7293762532702384128
2025-02-08 08:38:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7293308375407202305
2025-02-04 15:35:47,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290778009991610372
2025-02-04 15:34:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290082197007486976
2025-02-04 15:33:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7290331839267840000
2025-02-04 15:32:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7290419522757361664
2025-02-04 11:10:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7292362532206395392
2025-02-03 13:17:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290735872197500928
2025-01-28 15:29:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290019205955944449
2025-01-27 15:57:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7284825102616006656
2025-01-27 15:57:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7289570457689763840
2025-01-27 11:16:52,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285320685369896961
