Challenge Date,IP Address,User Agent,Country,Challenge Type
Fri Sep 27 08:54:39 UTC 2024,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Fri Sep 27 08:54:39 UTC 2024,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Fri Sep 27 08:55:01 UTC 2024,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Mon Oct 07 08:26:52 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Mon Oct 07 08:27:13 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Mon Oct 07 08:27:24 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Mon Oct 07 08:29:21 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Oct 16 16:56:08 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Oct 16 16:56:08 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Oct 16 16:56:36 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Tue Oct 29 08:53:59 UTC 2024,37.170.57.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",France,LINKEDIN_APP_CHALLENGE
Tue Oct 29 08:55:12 UTC 2024,37.170.57.235,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/AP2A.240905.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.58 Mobile Safari/537.36 com.linkedin.android/190500 [LinkedInApp]/1.75.155",France,LINKEDIN_APP_CHALLENGE
Tue Oct 29 08:55:16 UTC 2024,37.170.57.235,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/AP2A.240905.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.58 Mobile Safari/537.36 com.linkedin.android/190500 [LinkedInApp]/1.75.155",France,LINKEDIN_APP_CHALLENGE
Tue Oct 29 08:55:18 UTC 2024,37.170.57.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",France,LINKEDIN_APP_CHALLENGE
